mutation_rate,n_selected_sites,metric,m_control,m_test,U_statistic,p_value
0.0001,1,RF,0,1.0,0.0,0.0022038789978488403
0.0001,1,RF,0,5.0,0.0,0.0023488487446650347
0.0001,1,RF,0,10.0,0.0,0.0023488487446650347
0.0001,1,WRF,0,1.0,36.0,1.0
0.0001,1,WRF,0,5.0,36.0,1.0
0.0001,1,WRF,0,10.0,36.0,1.0
0.0001,2,RF,0,1.0,0.0,0.0023121144007495617
0.0001,2,RF,0,5.0,0.0,0.0023488487446650347
0.0001,2,RF,0,10.0,0.0,0.001996266531630895
0.0001,2,WRF,0,1.0,36.0,1.0
0.0001,2,WRF,0,5.0,36.0,1.0
0.0001,2,WRF,0,10.0,36.0,1.0
0.0005,1,RF,0,1.0,11.0,0.13657049711522518
0.0005,1,RF,0,5.0,0.0,0.0023121144007495617
0.0005,1,RF,0,10.0,0.0,0.0023121144007495617
0.0005,1,WRF,0,1.0,36.0,1.0
0.0005,1,WRF,0,5.0,36.0,1.0
0.0005,1,WRF,0,10.0,36.0,1.0
0.0005,2,RF,0,1.0,0.0,0.0023488487446650347
0.0005,2,RF,0,5.0,0.0,0.0023121144007495617
0.0005,2,RF,0,10.0,0.0,0.0022038789978488403
0.0005,2,WRF,0,1.0,36.0,1.0
0.0005,2,WRF,0,5.0,36.0,1.0
0.0005,2,WRF,0,10.0,36.0,1.0
0.001,1,RF,0,1.0,17.5,0.5
0.001,1,RF,0,5.0,0.0,0.0023121144007495617
0.001,1,RF,0,10.0,0.0,0.0023121144007495617
0.001,1,WRF,0,1.0,36.0,1.0
0.001,1,WRF,0,5.0,36.0,1.0
0.001,1,WRF,0,10.0,36.0,1.0
0.001,2,RF,0,1.0,0.0,0.001996266531630895
0.001,2,RF,0,5.0,0.0,0.0020641583228503224
0.001,2,RF,0,10.0,0.0,0.002133362411088064
0.001,2,WRF,0,1.0,36.0,1.0
0.001,2,WRF,0,5.0,36.0,1.0
0.001,2,WRF,0,10.0,36.0,1.0
